sampleid	FTG1	FTG10	FTG2	FTG3	FTG4	FTG5	FTG6	FTG7	FTG8	FTG9	FWT1	FWT2	FWT3	FWT4	FWT5	FWT6	FWT7	FWT8	FWT9
Acetylglycine	0.582033679	0.335184584	0.59654773	0.850436464	0.64564598	0.408459763	0.354893379	0.44679009	0.918907678	0.977529788	0.230285427	0.771276537	1.258800873	0.62806104	0.320872341	1.146337865	3.177166542	1.933455822	0.400326912
Aminoadipic acid	0.00304407	0.002091136	0.004694759	0.002981945	0.003054296	0.002735182	0.001277348	0.003614064	0.003320649	0.00367186	0.005913675	0.001600614	0.004049974	0.003815125	0.003058322	0.003416125	0.006622022	0.003547291	0.000929946
Beta-Alanine	5.465092811	5.776894238	4.272413649	3.219680271	3.480846611	5.070527305	6.020873184	5.42516303	3.308640293	5.374343079	3.927572087	4.1675592	4.983821306	4.484209431	5.232693094	3.258195709	4.327274227	4.186293332	4.426000129
L-Alanine	9.086586209	9.81033621	7.46187504	5.238813868	5.854872293	9.179766264	10.52308237	9.117811236	5.700109353	9.033962442	6.85477445	6.995434863	8.416468612	7.738293164	8.523388952	5.682654586	7.328591314	6.976476909	8.002388009
Citrulline	32.16259166	31.26753321	34.72805734	30.79262993	63.11983241	75.73742363	59.03229397	48.73745188	12.45289862	37.83525318	60.41024947	25.54600577	50.77480995	46.23542769	21.42392165	26.88662907	24.27681123	24.51353457	27.48951161
Creatine	0.479342414	0.053158111	0.080447033	0.1065366	0.058816451	0.033757868	0.036747205	0.055341057	0.091628324	0.090136862	0.071727119	0.058785141	0.067292326	0.055305115	0.29164304	0.362817265	0.329351604	0.160115706	0.871476706
Glycylproline	0.000240987	0.000169779	0.00019426	0.000206715	0.000157555	8.76E-05	8.27E-05	0.000243999	0.000170128	0.000353762	0.000171202	0.00011794	0.000131453	0.000122107	5.23E-05	0.000101767	0.000150281	0.000112949	7.50E-05
L-Alloisoleucine	8.502224437	11.46766183	4.267198147	3.07200294	4.032305275	8.867838878	10.88491546	6.889878067	2.938518636	4.993601156	5.098385202	7.803748843	5.966185209	5.320777518	8.289846575	4.625816703	3.41409768	4.489902359	5.144198275
L-Alpha-aminobutyric acid	0.072765621	0.082630978	0.045123752	0.035242664	0.054035166	0.065329366	0.082296221	0.045429836	0.034751247	0.040929477	0.057044703	0.050523753	0.057090149	0.059049063	0.070287471	0.093925914	0.085262344	0.074713931	0.057090698
L-Arginine	4.129065184	6.656717102	1.845261242	1.888187319	2.953988924	6.535285311	11.59353032	7.799535646	1.67599945	2.276095899	2.481167598	8.686882852	3.91858265	2.640801992	7.008779139	2.337465603	1.57956469	5.322434806	5.084676343
